id,userid,uploaded_time,QR Scanner,Machine ID,Original Factory,Original Sub Factory,Original Line,Original Section,Operation,New Section,New Line,New Sub Factory,New Factory,Approval,Final Factory,Final Sub Factory,Final New Line,Final Section,Cost,Budget For Maintainance ,SourceSheet
2236,Gopal T,2025-02-21 11:40:04,"{""machine_id"":""POST BED M/C 003_039""}",POST BED M/C 003_039,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
2235,Gopal T,2025-02-21 11:39:46,"{""machine_id"":""DF 114_8D0QJ06113""}",DF 114_8D0QJ06113,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
2234,Gopal T,2025-02-21 11:39:27,"{""machine_id"":""DF 080_8D0QH00489""}",DF 080_8D0QH00489,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
2233,Gopal T,2025-02-21 11:39:00,"{""machine_id"":""DNCS 001_2220687""}",DNCS 001_2220687,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
2232,Gopal T,2025-02-21 11:32:14,"{""machine_id"":""OL 024_1212400""}",OL 024_1212400,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
2231,Gopal T,2025-02-21 11:31:43,"{""machine_id"":""POST BED M/C 007_038""}",POST BED M/C 007_038,Laguna Clothing A,2nd floor,2ND FLOOR,Finishing,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
2230,Gopal T,2025-02-21 11:31:26,"{""machine_id"":""POST BED M/C 005_037""}",POST BED M/C 005_037,Laguna Clothing A,Factory-2,Line-4,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
2229,Gopal T,2025-02-21 11:30:47,"{""machine_id"":""NF 027_2D3HK00130""}",NF 027_2D3HK00130,Laguna Clothing A,Factory 1,Line-1,Front,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
2228,Gopal T,2025-02-21 11:30:29,"{""machine_id"":""OL 013_RMOQD01766""}",OL 013_RMOQD01766,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
2227,Gopal T,2025-02-21 11:29:53,"{""machine_id"":""POST BED M/C 006_040""}",POST BED M/C 006_040,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
2226,Gopal T,2025-02-21 11:29:21,"{""machine_id"":""OL 029_1274254""}",OL 029_1274254,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
2225,Gopal T,2025-02-21 11:28:53,"{""machine_id"":""DNCS 009_1220778""}",DNCS 009_1220778,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
2178,Gopal T,2025-02-18 17:16:07,"{""machine_id"":""DNCS 005_2220683""}",DNCS 005_2220683,Laguna Clothing A,Factory-2,Line-5,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
2162,Gopal T,2025-02-12 15:48:58,"{""machine_id"":""DNCS 020_7321222""}",DNCS 020_7321222,Laguna Clothing A,Factory 1,Line-3,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
2130,Sukumar,2025-02-06 16:45:04,"{""machine_id"":""DF 319_PDANM01412""}",DF 319_PDANM01412,Laguna Clothing A,Factory 1,Line-1,Assembly,,Back,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Back,1000,50,Line 1
2091,Naveen,2025-02-05 18:04:33,,NF 027_2D3HK00130,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,2000,100,Line 1
1684,Sukumar,2025-01-30 15:35:05,,DF 101_8D0RB02851,Laguna Clothing A,Factory 1,Line-3,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1627,Jeevaraj P,2025-01-30 10:38:55,,DF 073_8D0RB03290,Laguna Clothing A,Factory 1,Line-2,Back,,IDLE SEC,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,IDLE SEC,1000,50,Line 1
1624,Jeevaraj P,2025-01-30 10:37:18,,NF 103_2D3GH00104,Laguna Clothing A,Factory 1,Line-1,Front,,IDLE SEC,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,IDLE SEC,2000,100,Line 1
1623,Jeevaraj P,2025-01-30 10:37:02,,NF 020_2D3HK00077,Laguna Clothing A,Factory 1,Line-1,Back,,IDLE SEC,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,IDLE SEC,2000,100,Line 1
1622,Jeevaraj P,2025-01-30 10:36:48,,NF 018_2D3GC00386,Laguna Clothing A,Factory 1,Line-1,Back,,IDLE SEC,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,IDLE SEC,2000,100,Line 1
1621,Jeevaraj P,2025-01-30 10:36:35,,NF 019_2D3HK00047,Laguna Clothing A,Factory 1,Line-1,Back,,IDLE SEC,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,IDLE SEC,2000,100,Line 1
1620,Jeevaraj P,2025-01-30 10:36:22,,DF 024_2D0BD02823,Laguna Clothing A,Factory 1,Line-1,Front,,IDLE SEC,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,IDLE SEC,1000,50,Line 1
1619,Jeevaraj P,2025-01-30 10:36:06,,FRONT PLACKET 003_1109342,Laguna Clothing A,Factory 1,Line-1,Front,,IDLE SEC,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,IDLE SEC,14000,700,Line 1
1618,Jeevaraj P,2025-01-30 10:29:49,,NF 010_2D3GH00242,Laguna Clothing A,Factory 1,Line-1,Collar,,IDLE SEC,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,IDLE SEC,2000,100,Line 1
1590,Yogesh,2025-01-28 17:26:22,"{""machine_id"":""DF 112_8D0RA03590""}",DF 108_8D0QL03439,Laguna Clothing A,Factory 1,Line-3,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1589,Yogesh,2025-01-28 17:20:01,"{""machine_id"":""DF 098_8D0QL03422""}",DF 098_8D0QL03422,Laguna Clothing A,Factory 1,Line-3,Collar,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1569,Chowdi Reddy,2025-01-28 14:21:36,"{""machine_id"":""DF 095_8D0QH04112""}",DF 095_8D0QH04112,Laguna Clothing A,Factory 1,Line-3,Collar,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1568,Chowdi Reddy,2025-01-28 14:15:28,"{""machine_id"":""DF 102_8D0QH01944""}",DF 102_8D0QH01944,Laguna Clothing A,Factory 1,Line-3,Collar,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1567,Chowdi Reddy,2025-01-28 14:13:43,"{""machine_id"":""DF 319_PDANM01412""}",DF 319_PDANM01412,Laguna Clothing A,Factory 1,Line-1,Back,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1566,Chowdi Reddy,2025-01-28 14:12:51,"{""machine_id"":""NF 104_2D3GH00169""}",NF 104_2D3GH00169,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
1565,Chowdi Reddy,2025-01-28 14:10:43,"{""machine_id"":""DNLS 001_8L3QK00415""}",DNLS 001_8L3QK00415,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
1564,Chowdi Reddy,2025-01-28 14:06:43,"{""machine_id"":""OL 011_RMOQD01823""}",OL 011_RMOQD01823,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1563,Chowdi Reddy,2025-01-28 14:04:40,"{""machine_id"":""CA 004_2D4FJ00167""}",CA 004_2D4FJ00167,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
1562,Chowdi Reddy,2025-01-28 14:03:52,"{""machine_id"":""CA 005_2D4FJ00318""}",CA 005_2D4FJ00318,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,,0,Line 1
1561,Chowdi Reddy,2025-01-28 14:02:39,"{""machine_id"":""NF 066_2D3HK00185""}",NF 066_2D3HK00185,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
1557,Chowdi Reddy,2025-01-28 12:25:45,"{""machine_id"":""FRONT PLACKET 003_1109342""}",FRONT PLACKET 003_1109342,Laguna Clothing A,Factory 1,Line-2,Front,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,14000,700,Line 1
1556,Chowdi Reddy,2025-01-28 12:24:51,"{""machine_id"":""OL 003_RMOQD01770""}",OL 003_RMOQD01770,Laguna Clothing A,Factory 1,Line-1,Sleeve,,Back,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Back,1000,50,Line 1
1555,Chowdi Reddy,2025-01-28 11:58:48,"{""machine_id"":""NF 103_2D3GH00104""}",NF 103_2D3GH00104,Laguna Clothing A,Factory 1,Line-1,Assembly,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,2000,100,Line 1
1554,Chowdi Reddy,2025-01-28 11:56:53,"{""machine_id"":""OL 006_6MORA03663""}",OL 006_6MORA03663,Laguna Clothing A,Factory 1,Line-2,Assembly,,Back,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Back,1000,50,Line 1
1553,Chowdi Reddy,2025-01-28 11:54:36,"{""machine_id"":""BS 020_2L1QJ01875""}",BS 020_2L1QJ01875,Laguna Clothing A,Factory 1,Line-2,Assembly,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,3900,195,Line 1
1545,Naveen,2025-01-27 18:09:57,"{""machine_id"":""NF 101_2D3GH00172""}",NF 101_2D3GH00172,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
1543,Jeevaraj P,2025-01-22 11:42:05,"{""machine_id"":""NS IT(Boiler) 005_022""}",NS IT(Boiler) 005_022,Laguna Clothing A,Factory-2,Line-5,Assembly,,Finishing,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Finishing,,0,Line 1
1531,Jeevaraj P,2025-01-08 15:21:27,,BS 044_2L1QJ01796,Laguna Clothing A,Factory 1,Line-3,Assembly,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,3900,195,Line 1
1530,Jeevaraj P,2025-01-08 15:21:12,,BS 009_2L1QJ00890,Laguna Clothing A,Factory 1,Line-3,Assembly,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,3900,195,Line 1
1529,Jeevaraj P,2025-01-08 15:20:44,,BS 017_2L1QJ00887,Laguna Clothing A,Factory 1,Line-3,Assembly,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,3900,195,Line 1
1513,Jeevaraj P,2025-01-03 10:57:02,,DNCS 001_2220687,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
1472,Jeevaraj P,2024-12-25 11:57:11,,RD IT 017_12H36255,Laguna Clothing A,Factory 1,Line-1,Front,,Back,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Back,,0,Line 1
1471,Jeevaraj P,2024-12-25 11:56:29,,RD IT 023_11D32359,Laguna Clothing A,Factory 1,Line-1,Front,,Collar,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Collar,,0,Line 1
1442,Jeevaraj P,2024-12-24 11:30:21,,OL 020_RMORA01244,Laguna Clothing A,Factory 1,Line-1,Sleeve,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1441,Ramesh,2024-12-24 10:23:41,"{""machine_id"":""OL 005_RMOQM07840""}",OL 005_RMOQM07840,Laguna Clothing A,Factory 1,Line-3,Assembly,,Sleeve,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Sleeve,1000,50,Line 1
1440,Ramesh,2024-12-24 10:22:31,"{""machine_id"":""FRONT PLACKET 001_260998""}",FRONT PLACKET 001_260998,Laguna Clothing A,Factory-3,Line-6,Front,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,14000,700,Line 1
1439,Ramesh,2024-12-24 10:20:00,,DNCS 002_1220747,Laguna Clothing A,Factory 1,Line-3,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
1432,Ramesh,2024-12-19 15:15:44,"{""machine_id"":""DNLS 007_8L3QK00421""}",DNLS 007_8L3QK00421,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
1431,Ramesh,2024-12-19 15:15:12,"{""machine_id"":""DNLS 003_8L3QK00426""}",DNLS 003_8L3QK00426,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
1430,Ramesh,2024-12-19 15:14:48,"{""machine_id"":""DNLS 008_8L3QK00101""}",DNLS 008_8L3QK00101,Laguna Clothing A,Factory-3,Line-6,Front,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
1417,Ramesh,2024-12-19 10:01:26,"{""machine_id"":""OL 029_1274254""}",OL 029_1274254,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1416,Ramesh,2024-12-19 10:01:05,"{""machine_id"":""OL 022_RMOQD01782""}",OL 022_RMOQD01782,Laguna Clothing A,Factory-2,Line-4,Back,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1415,Ramesh,2024-12-19 09:51:57,"{""machine_id"":""OL 018_RMOQM07830""}",OL 018_RMOQM07830,Laguna Clothing A,Factory-2,Line-4,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1414,Ramesh,2024-12-19 09:51:12,"{""machine_id"":""OL 008_RMORA01190""}",OL 008_RMORA01190,Laguna Clothing A,Factory-2,Line-4,Assembly,,Back,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Back,1000,50,Line 1
1413,Ramesh,2024-12-19 09:50:34,"{""machine_id"":""OL 016_RMORA01195""}",OL 016_RMORA01195,Laguna Clothing A,Factory-2,Line-4,Sleeve,,Back,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Back,1000,50,Line 1
1410,Jeevaraj P,2024-12-18 16:22:16,,BS 012_2L1RE00238,Laguna Clothing A,Factory 1,Line-2,Assembly,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,3900,195,Line 1
1409,Jeevaraj P,2024-12-18 16:21:54,,BS 009_2L1QJ00890,Laguna Clothing A,Factory 1,Line-2,Assembly,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,3900,195,Line 1
1408,Jeevaraj P,2024-12-18 16:21:31,,BS 017_2L1QJ00887,Laguna Clothing A,Factory 1,Line-1,Assembly,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,3900,195,Line 1
1401,Ramesh,2024-12-18 15:41:29,"{""machine_id"":""BH 019_PL0QL00775""}",BH 019_PL0QL00775,Laguna Clothing A,Factory 1,Line-2,Front,,Front,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Front,4000,200,Line 1
1371,Ramesh,2024-12-17 17:01:17,"{""machine_id"":""BH 002_PL0QE00237""}",BH 002_PL0QE00237,Laguna Clothing A,Factory 1,Line-3,Front,,Cuff,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Cuff,4000,200,Line 1
1369,Jeevaraj P,2024-12-17 16:59:40,,NF 070_2D3HK00179,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
1368,Jeevaraj P,2024-12-17 16:54:19,,DF 223_8D0RA03631,Laguna Clothing A,2nd floor,2ND FLOOR,2ND FLOOR,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1367,Jeevaraj P,2024-12-17 16:54:03,,DF 080_8D0QH00489,Laguna Clothing A,Factory 1,Line-3,Finishing,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1366,Jeevaraj P,2024-12-17 16:53:48,,DF 092_8D0RA03621,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1365,Jeevaraj P,2024-12-17 16:53:30,,DF 112_8D0RA03590,Laguna Clothing A,Factory 1,Line-1,Finishing,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1364,Jeevaraj P,2024-12-17 16:53:12,,DF 110_8D0QH00488,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,1000,50,Line 1
1341,Jeevaraj P,2024-12-17 14:47:10,,RD IT 021_12G36112,Laguna Clothing A,Factory 1,Line-3,Cuff,,Collar,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Collar,,0,Line 1
1269,Ranghanath,2024-12-02 14:38:26,,DNCS 010_1220774,Laguna Clothing A,Factory 1,Line-1,Finishing,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
1263,Ramesh,2024-11-30 11:18:15,"{""machine_id"":""NF 033_2D3GJ00011""}",NF 033_2D3GJ00011,Laguna Clothing A,Factory 1,Line-1,Back,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
1262,Ramesh,2024-11-30 10:15:16,"{""machine_id"":""NF 103_2D3GH00104""}",NF 103_2D3GH00104,Laguna Clothing A,Factory 1,Line-1,Front,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
1261,Ramesh,2024-11-30 10:14:50,"{""machine_id"":""NF 027_2D3HK00130""}",NF 027_2D3HK00130,Laguna Clothing A,Factory 1,Line-1,Front,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
1211,Jeevaraj P,2024-11-28 16:38:13,,DF 319_PDANM01412,Laguna Clothing A,storage factory,2ND FLOOR,,,Back,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Back,1000,50,Line 1
1187,Ranghanath,2024-11-28 14:08:37,,DNCS 010_1220774,Laguna Clothing A,Factory 1,Line-3,Assembly,,Finishing,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Finishing,2500,125,Line 1
1155,Ranghanath,2024-11-20 10:29:01,"{""machine_id"":""NF 061_2D3GC00393""}",NF 061_2D3GC00393,Laguna Clothing A,Factory 1,Line-2,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2000,100,Line 1
1154,Ranghanath,2024-11-20 10:27:49,"{""machine_id"":""DNCS 006_2220671""}",DNCS 006_2220671,Laguna Clothing A,Factory 1,Line-3,Assembly,,Assembly,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Assembly,2500,125,Line 1
1142,Ranghanath,2024-11-19 09:25:40,,DF 223_8D0RA03631,Laguna Clothing A,Factory 1,Line-2,Back,,Finishing,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Finishing,1000,50,Line 1
1141,Ranghanath,2024-11-19 09:25:13,,DF 051_8D0QH04159,Laguna Clothing A,Factory 1,Line-2,Assembly,,Finishing,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Finishing,1000,50,Line 1
1140,Ranghanath,2024-11-19 09:21:57,,POST BED M/C 008_035,Laguna Clothing A,Factory-2,Line-4,Assembly,,Finishing,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Finishing,,0,Line 1
1139,Ranghanath,2024-11-19 09:21:29,,POST BED M/C 001_036,Laguna Clothing A,Factory 1,Line-3,Assembly,,Finishing,Line-1,Factory 1,Laguna Clothing A,Approved,Laguna Clothing A,Factory 1,Line-1,Finishing,,0,Line 1
